song,artist,date,votes,ratings,views,favorites,comments,contributors,acoustic,tonality,capo,chords
Falling Slowly,Glen Hansard,1183334401,1538,4.81592,2567483,25939,23,11,0,C,0,"C,F,C,F,C,F,C,F,C,F,C,F,Am,G,F,G,Am,G,F,C,F,Am,F,C,F,Am,F,C,F,C,F,C,F,C,F,Am,G,F,G,Am,G,F,C,F,Am,F,C,F,Am,F,Am,G,F,G,Am,G,F,C,F,Am,F,C,F,Am,F,C,F,Am,F,C,F,Am,F,F,C,F,C,F"
Kiss Me,Ed Sheeran,1316476801,1079,4.88205,2555008,35398,36,2,0,D,0,"D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,G,A,D,Bm,G,A,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,D,A,Bm,A,G,D,G,A,D,Bm,G,A,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,A,Bm,A,G,Gm,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D,D,A,Bm,A,G,G,D"
Fifteen,Taylor Swift,1226534401,677,4.86534,2551090,17932,78,1,0,,0,"G,Cadd9,Em7,D,D/F#,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,Cadd9,G,Em7,D,Cadd9,G,D/F#,Em7,Cadd9,Em7,D,G,D/F#,Cadd9,D,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,Cadd9,G,Em7,D,Cadd9,G,D/F#,Em7,Cadd9,Em7,D,G,D/F#,Cadd9,D,G,Cadd9,Em7,Cadd9,D,Cadd9,Em7,D,G,D/F#,Cadd9,D,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,Cadd9,G,Em7,D,Cadd9,G,D/F#,Em7,Cadd9,Em7,D,G,D/F#,Cadd9,Em7,D/F#,Cadd9,D,G,Cadd9,Em7,Cadd9,G,Cadd9,Em7,Cadd9,G,C,Em7,Cadd9"
Hurt,Johnny Cash,1162771201,4847,4.87745,2540810,89626,143,10,0,Am,0,"Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,G,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,Am,C,D,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,G,G,Am,F,G,Am,F,G,Am"
Summertime Sadness,Lana Del Rey,1328572801,1411,4.86027,2539606,42621,21,3,0,F,4,"F,Am,G,F,Am,G,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,G,Am,F,Dm,G,Am,F,Dm,G,F,G,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F,F,Am,G,F"
Dancing On My Own,Calum Scott,1460621032,2935,4.82693,2540669,70790,56,2,0,C,1,"C,G,F,C,G,F,C,G,F,C,G,F,Am,G,F,F,C,C,G,F,C,G,F,Am,G,F,Am,G,F,C,G,F,C,G,F,Am,G,F,F,C,C,G,F,C,G,F,Am,G,F,Am,G,F,C,G,F,F,G,Am,G,F,F,G,Am,G,C,C,Am,Am,G,F,Am,G,F,C,G,F,C,G,F,C,G,F,C,G,F,C,G,F,Am,Am,G,F"
Space Oddity,David Bowie,1077235200,6832,4.88172,2531102,45896,90,8,0,C,0,"Fmaj7,Em,Fmaj7,Em,Fmaj7,Em,Fmaj7,Em,C,Em,C,Em,Am,D/F#,C,Em,C,Em,Am,D/F#,C,E,F,Fm,C,F,Fm,C,F,C,E,F,Fm,C,F,Fm,C,F,Fmaj7,Em,Fmaj7,Em,Bb,Am,G,F,C,F,G,A,A,C,F,G,A,A,Fmaj7,Em,A,C,D,E,C,E,F,Fm,C,F,Fm,C,F,G,E7,Am,D/F#,C,G,Fmaj7,Em,Fmaj7,Em,Bb,Am,G,F,C,F,G,A,A,C,F,G,A,A,Fmaj7,Em,A,C,D,E"
Photograph,Ed Sheeran,1403491700,1928,4.88265,2530391,33757,50,6,0,C,4,"C,Am,G,F,C,Am,G,F,C,Am,G,F,Am,F,C,G,Am,F,C,G,C,G,Am,F,C,C,Am,G,F,C,Am,G,F,Am,F,C,G,Am,F,C,G,C,G,Am,F,C,G,Am,F,Am,F,C,G,C,G,Am,F,C,G,Am,F,C,G,Am,F"
Paradise,Coldplay,1315958401,531,4.5026,2527797,15762,33,4,0,Bb,0,"Bb,C,Dm,F,Bb,C,Dm,F,Bb,C,Dm,F,Bb,F,C,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,F,Dm,C,Gm,F,Dm,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,F,Dm,C,Gm,F,Dm,C,Gm,F,Dm,C,Gm,F,Dm,C,Bb,F,F,C,Bb,F,Bb,F,C,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Bb,C,Dm,F,Bb,C,Dm,F,Bb,C,Dm,F,Bb,F,C,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Gm,Bb,F,C,Bb,C,C,Dm,B,Dm"
One,U2,1047340800,1438,4.82745,2527026,38512,72,2,1,,0,"Am,Dsus2,Fmaj7,G,Am,Dsus2,Fmaj7,G,Am,Dsus2,Fmaj7,G,C,Am,Fmaj7,C,C,Am,Fmaj7,C,Am,Dsus2,Fmaj7,G,Am,Dsus2,Fmaj7,G,Am,Dsus2,Fmaj7,G,C,Am,Fmaj7,C,C,Am,Fmaj7,C,Am,Dsus2,Fmaj7,G,Am,Dsus2,Fmaj7,G,Am,Dsus2,Fmaj7,G,C,Am,Fmaj7,C,C,Am,Fmaj7,C,C,Am,C,Am,C,G,Fmaj7,C,Am,Fmaj7,C,Am,Fmaj7,C,Am,Fmaj7,C,C,Am,Fmaj7,C,C,Am,Fmaj7,C,C,Am,Fmaj7,C,C,Am,Fmaj7,C,C,Am,Fmaj7,C,C,Am,Fmaj7,C"
Bad Moon Rising,Creedence Clearwater Revival,1004486400,3982,4.83802,2526697,49037,59,9,0,,0,"D,A,G,D,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,G,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,G,D,A,G,D,D,A,G,D,D,D,A,G,D,D,G,G,D,D,A,G,D,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,G,D,A,G,D,G,D,A,G,D"
I Wont Give Up,Jason Mraz,1326067201,1694,4.80281,2519444,50696,49,4,0,,2,"Dsus4,D,Dsus4,D,Dsus4,D,Asus4,A,Dsus4,D,Dsus4,D,Dsus4,D,Asus4,A,Dsus4,D,Dsus4,D,Dsus4,D,Asus4,A,G,D,Bm,A,G,D,Asus4,A,Dsus4,D,Dsus4,D,Dsus4,D,Asus4,A,G,D,Bm,A,G,D,Asus4,A,Gmaj7,Em,A,Em,A,C,Em/C#,C,Em/C#,D,G,D,Bm,A,G,D,Bm7,A,G,D,Bm,A,G,D,A,G,D,Bm,A,G,D,A"
Bohemian Rhapsody,Queen,1425074315,1532,4.81262,2513028,42358,42,6,0,G,3,"Em7,A7,D7,Am7,D7,G,Em,G7,C,Am,D7,G#,G,F#,G,G#,G,F#,G,C,Bbdim7,G,G,Em,Am,Am,D,G,Em,Am,Am/G#,Am/F#,C,G,Am,Dm,G,C,G,Am,Fm,C,G,G,Em,Am,Am,D,G,Em,Am,Am/G#,Am/F#,C,G,Am,Dm,G,C,C,G,Am,Dm,G,C,G,Am,Dm,Bb,Bb,A,G#,G,F#,B,F#,F,F#,B,F#,F,F#,B,F#,B,F#,F,F#,B,F#,A#,F,A,C#,F#,G#,G,F#,G,G#,G,F#,G,F,C,Cdim,C,F,C,Cdim,C,F,D,G,F,D#dim,Dm7,G#,G,F#,G,G#,G,F#,G,C,G,C,G,G,C,G,G,G,C,G,G,G,G,D#7,G#m,F#,B,A#,D#,G,C,C,G,C,F,B,Em,G,C,C,C,D,G,C,G,Bb,G,C,F,Dm,G,Dm,G,Dm,G,Dm,G,C,C,C,C,D,Ab,F,G,G,G,C,G,Am,E,Am,E,Am,G,C,B,Em,F,C,Am,Em,Am,Em,Am,Fm,C,C,C,Cdim,Gm/Bb,A,Bbdim,A,A7,D,G,D/F#,Em7,D"
Take Me To Church,Hozier,1408626725,1477,4.87258,2501546,46043,88,1,0,,0,"Em,Am,Em,Am,G,Am,Em,Am,Em,Am,Em,Am,G,Am,Em,Am,D,C,Em,Am,Em,Am,G,Am,Em,Am,D,C,G,C,G,Cm,G,Cm,G,Em,B7,G,Am,Em,Em,B7,G,Am,Em,Em,Am,Em,Am,G,Am,Em,Am,D,C,Em,Am,Em,Am,G,Am,Em,Am,D,C,Em,B7,G,Am,Em,Em,B7,G,Am,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,D,C,G,C,G,Cm,G,Cm,G,Em,B7,G,Am,Em,Em,B7,G,Am,Em,Em"
Clocks,Coldplay,1175299201,1570,4.85536,2496160,44923,62,8,0,Ab,1,"D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,D,Am,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,Em,D,Am,D,Am,D,Am,D,Am,D,Am,Em,D,Am,Em"
Set Fire To The Rain,Adele,1300233601,1269,4.74564,2493391,31751,34,4,0,,5,"Am,C,G,Dm,Am,C,G,Dm,Am,C,G,Dm,Am,C,G,Dm,Am,C,G,G,F,Dm,Am,Am,F,G,Am,Am,G,G,Dm,Dm,F,Am,G,Am,C,G,Dm,Am,C,G,G,F,Dm,Am,Am,F,G,Am,Am,G,G,Dm,Dm,F,Am,G,Am,Am,G,G,Dm,Dm,F,Am,G,F,Em,G,F,Em,G,Am,Am,G,G,Dm,Dm,F,Am,G,Am,Am,G,G,Dm,Dm,F,Am,G"
Billionaire,Travie McCoy,1269993601,111,3.62635,2483086,3379,16,2,0,A,0,"F#m,A,E,F#m,E,A,E,F#m,E,D,E,F#m,D,E,F#m,D,E,A,A/G#,F#m,F#,D,E,F#m,A,E,E,F#m,E,A,E,F#m,E,A,E,F#m,E,D,E,F#m,D,E,F#m,D,E,A,A/G#,F#m,D,E,F#m,E,F#m,E,A,E,F#m,E,A,E,F#m,E,A,E,F#m,E,A,E,A,E,F#m,E,A,E,F#m,E,D,E,F#m,D,E,F#m,D,E,A,A/G#,F#m,D,E,F#m,E,F#m,E"
The Cave,Mumford & Sons,1268697601,1645,4.84851,2480946,53113,56,5,0,,4,"Am,C,Am,C,Am,C,G,C,F,C,Am,C,Am,C,Am,C,G,C,F,C,C,F,C,C,F,C,F,C,G,Am,F,C,Am,F,C,F,C,G,Am,C,Am,C,Am,C,G,C,F,C,Am,C,Am,C,Am,C,G,C,F,C,C,F,C,C,F,C,F,C,G,Am,F,C,Am,F,C,F,C,G,Am,C,Am,C,Am,C,G,C,F,C,C,F,C,C,F,C,F,C,G,Am,F,C,Am,F,C,F,C,G,C,F,C,C,F,C,F,C,G,Am,F,C,Am,F,C,F,C,G"
Let It Go,Demi Lovato,1382400001,904,4.73143,2460645,28325,45,4,0,,0,"G,D,Em,C,G,D,Em,C,Em,C,D,Am,Em,C,D,Am,Em,C,D,Am,Em,D,A,D,C,D,C,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C,Em,C,D,Am,Em,C,D,A,Em,C,D,Am,Em,C,D,A,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C"
Sex On Fire,Kings of Leon,1219622401,543,4.73512,2454374,27650,24,1,0,,0,"E,C#m,E,E,C#m,C#m,E,E,C#m,C#m,E,C#m,A,E,E,C#m,C#m,E,E,C#m,A,E,C#m,A,E,C#m,A,E,E,C#m,C#m,E,E,C#m,C#m,C#m,E,C#m,A,E,C#m,E,C#m,A,E,C#m,A,E,C#m,A,E"
Stolen Dance,Milky Chance,1367884801,866,4.83015,2449767,37226,48,4,0,,0,"G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,G#m,F#,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,G#m,F#,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,G#m,F#,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7,G#m,F#,E,B,D#7"
Summer Of 69,Bryan Adams,1246492801,1676,4.8037,2450323,62187,24,8,0,D,0,"D,A,D,A,D,A,D,A,Bm,A,D,G,Bm,A,D,G,Bm,A,D,D,A,D,A,D,A,Bm,A,D,G,Bm,A,D,G,Bm,A,D,D,A,D,A,F,Bb,C,Bb,F,Bb,C,D,A,D,A,D,A,Bm,A,D,G,Bm,A,D,G,Bm,A,D,D,A,D,A,D,A"
Under The Bridge,Red Hot Chili Peppers,1044403200,191,4.33716,2443058,6513,30,7,0,E,0,"D,F#,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,Emaj7,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,Emaj7,F#m,E,B/F#,F#m,E,B/F#,F#m,F#m,E,B/F#,F#m,E,B/F#,F#m,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,Emaj7,F#m,E,B/F#,F#m,E,B/F#,F#m,F#m,E,B/F#,F#m,E,B/F#,F#m,A,Am7,G6,F,E7,G6,A,C,G6,F7,E,B,C#m,G#m,A,E,B,C#m,A"
I See Fire,Ed Sheeran,1383696001,1318,4.80952,2438819,31113,74,2,0,,1,"Am,F,G,Am,Am,F,G,Am,Am,C,G,Dm,Am,C,G,Dm,Am,C,G,F,Dm,Em,F,G,Am,F,G,Am,Am,C,G,Dm,Am,C,G,Dm,Am,C,G,F,Dm,Em,F,G,Dm,Em,F,G,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am,Am,F,G,Dm,Am,F,G,Am,Am,C,G,Dm,Am,C,G,Dm,Am,C,G,F,Dm,Em,F,G,Dm,Em,F,G,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am,Am,F,G,Dm,Dm,Am,C,G,Dm,Am,C,G,Dm,Am,C,G,Dm,C,F,G,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am,Am,F,G,Am"
Firework,Katy Perry,1286236801,1052,4.79277,2416489,35414,54,8,0,,1,"G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,Em,C,G,D,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C,G,Am,Em,C"
Jumper,Third Eye Blind,1004486400,432,4.65838,2413678,14241,75,2,0,,0,
Jealous,Labrinth,1420282022,963,4.84722,2404158,41255,40,4,0,C,1,"C,F,Am,C,F,Am,F,G,C,F,G,Am,C,F,Am,C,F,Am,F,G,C,F,G,Am,C,F,Am,C,F,Am,F,G,C,F,G,Am,C,Am,Dm,G,C,Am,Dm,G,F,Am,C,F,Dm,F,F,G,Am,C,F,Am,C,F,Am,F,G,C,F,G,Am,C,F,Am,C,F,Am,F,G,C,F,G,Am,C,Am,Dm,G,C,Am,Dm,G,F,Am,C,F,Dm,F,F,G,Am,Cdim7,F7,Cdim7,Abmaj7,Ebmaj7,Abmaj7,Ebmaj7,C7,Fm,Bb,Eb,G7,Fm,Bb,Eb,Cm,Fm,Bb,Ab,Cm,Eb,Ab,Fm,Ab,Ab,Bb,Cm,F,Fm,Ab,Ab,Cm"
Faded,Alan Walker,1450028986,1502,4.866,2398127,33300,68,8,0,Am,6,"Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,Am,F,C,G"
Times Like These,Foo Fighters,1050624000,1790,4.86244,2375180,42267,73,3,1,,0,"D,Am,Am7,C,Em,Em7,D,D,Am,Am7,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,D,Am,Am7,C,Em,Em7,D,D,Am,Am7,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em7,D,C,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C,Em,Em7,D,C"
Night Changes,One Direction,1415610345,1648,4.87186,2372434,46380,67,5,0,Ab,1,"G,Em,Bm,D,G,Em,Bm,D,C,D,C,D,C,D,G,D,Em,C,D,C,D,C,D,G,D,Em,C,D,G,G,Em,Bm,D,G,Em,Bm,D,C,D,C,D,C,D,G,D,Em,C,D,C,D,C,D,G,D,Em,C,D,A,A,F#m,D,E,A,F#m,C#m,E,D,E,D,E,D,E,A,E,F#m,D,E,D,E,D,E,A,E,F#m,D,E,D,E,D,E,A,E,F#m,D,E,D,E,D,E,A"
Wrecking Ball,Miley Cyrus,1377561601,196,3.90157,2346644,9950,26,2,0,,3,"Bm,D,A,Em,Bm,D,A,Em,G,Bm,D,G,G,Bm,D,G,D,A,Bm,G,D,A,Bm,G,Bm,G,Bm,D,A,Em,Bm,D,A,Em,G,Bm,D,G,G,Bm,D,G,D,A,Bm,G,D,A,Bm,G,Bm,G,D,A,Bm,G,D,A,Bm,G,Bm,G,G,Bm,D,F#m,G,Bm,D,F#sus4,F#,G,Bm,D,A,D,A,Bm,G,D,A,Bm,G,Bm,G,D,A,Bm,G,D,A,Bm,G,Bm,G"
Story Of My Life,One Direction,1382918401,617,4.64096,2342063,28863,46,6,0,,1,"Bm,D,Bm,D,Bm,G,D,Bm,G,D,G,A,Bm,G,A,Bm,G,A,Bm,A,D,G,Bm,G,D,D,G,Bm,G,D,Bm,G,D,Bm,G,D,Bm,G,D,Bm,G,D,G,A,Bm,G,A,Bm,G,A,Bm,A,D,G,Bm,G,D,D,G,Bm,G,D,Em,G,A,Em,G,A,D,G,Bm,G,D,D,G,Bm,G,D,D,G,Bm,G,D"
Hero Of War,Rise Against,1238716801,1817,4.92604,2328595,25774,54,7,0,,0,"E,G#m,A,E,A,E,B,E,G#m,A,E,A,E,B,C#m,A,E,B,C#m,A,E,B,E,G#m,A,E,A,E,B,E,G#m,A,E,A,E,B,C#m,A,E,B,C#m,A,E,B,E,G#m,A,E,A,E,B,E,G#m,A,E,A,E,B,C#m,A,E,B,C#m,A,E,B,E,G#m,A,E"
Broken Strings,James Morrison,1223683201,1116,4.86453,2325466,22147,40,1,0,,0,"Am,C,F,Am,C,F,Dm,Am,C,F,Am,C,F,Dm,F,G,Am,F,G,Em,F,G,Em,F,C,Dm,Am,C,G,Dm,Am,C,G,F,Am,C,G,Dm,Am,G,Am,C,F,Am,C,F,Dm,Am,C,F,Am,C,F,Dm,F,G,Am,F,G,Em,F,G,Em,F,C,Dm,Am,C,G,Dm,Am,C,G,F,Am,C,G,Dm,Am,G,Am,C,F,Am,C,F,Dm,Dm,Am,C,G,Dm,Am,C,G,F,Am,C,G,Dm,Am,G,Dm,Am,G,Am,C,F,Dm"
Africa,Toto,1062028800,967,4.81901,2326601,417,47,9,0,B,0,"B/F#,A,G#m,C#m,A,G#m,C#m,A,G#m,C#m,A,G#m,C#m,B,D#m,G#m,B/F#,C#m,G#m,A,G#m,C#m,B,D#m,G#m,B/F#,C#m7,G#m,A,G#m,C#m,B,D#m,G#m,B/F#,C#m,G#m,A,G#m,C#m,B,D#m,G#m,A,C#m,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,C#m,E,F#m,A,G#m,C#m,A,G#m,C#m,B,D#m,G#m,B/F#,C#m,G#m,A,G#m,C#m,B,D#m,G#m,B/F#,C#m,G#m,A,G#m,C#m,B,D#m,G#m,G#m,A,C#m,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,C#m,E,F#m,A,G#m,C#m,A,G#m,C#m,B,D#m,G#m,B,A,C#m,G#m,A,G#m,C#m,B,D#7,G#m,A,C#m,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,C#m,E,F#m,A,G#m,C#m,A,G#m,C#m"
Fuckin Perfect,P!nk,1288915201,724,4.81765,2323856,24077,30,4,0,,0,"G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,Cadd9,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G,Dsus,Em7,Cadd9,G"
Last Christmas,Wham!,1110153600,756,4.73574,2317999,33741,33,4,0,D,0,"D,Bm,Em,A,D,Bm,Em,A,D,Bm,Em,A,D,Bm,Em,A,D,Bm,Em,A,D,Bm,Em,A,D,Bm,Em,A,D,Bm,Em,A"
Home,Michael Bublé,1117497600,877,4.76409,2318167,30638,23,7,0,,0,"G,D/F#,Em,D,Cmaj7,D,G,D,G,D/F#,Em,D,C,Cmaj7,D,G,D,G,D/F#,Em,D,C,Cmaj7,D,G,C,Em,Asus4,A,C,D,C,Em,F,D,Dsus,D,G,D/F#,Em,D,Cmaj7,D,G,D,G,D/F#,Em,Bm7,C,D,G,G,D/F#,Em,D,Cmaj7,D,G,C,Em,Asus4,A,C,D,C,Em,F,D,Dsus,D,G,D/F#,Em,D,C,Cmaj7,D,G,D,G,D/F#,C,Cmaj7,D,G,D,G,D/F#,Em,Bm7,C,D,G,D,G,D/F#,Em,Bm7,C,D,G"
Surat Cinta Untuk Starla,Virgoun,1465999412,305,4.865,2314322,6915,7,2,0,G,0,"C,D,G,Em,C,D,G,G7,C,D,G,Em,C,D,G,G,C,D,G,Em,Am,D,G,G,C,D,G,Em,Am,D,G,C,D,G,D,E,Am,D,G,C,G,C,G,C,D,G,Em,Am,D,G,G,C,D,G,Em,Am,D,G,C,D,G,D,E,Am,D,G,C,D,G,D,E,Am,D,C,G,Am,D,E,A,D,E,A,E,F#m,Bm,E,A,D,E,A,E,F#,Bm,E,A,D,E,A,E,F#,Bm,E,A,F#,Bm,E,D,D,E,A,F#m,D,E,A"
Treat You Better,Shawn Mendes,1465033569,861,4.82565,2310041,21618,38,5,0,Bbm,1,"Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,C,F,Am,G,F,Am,G,C,F,Am,G,F,Am,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,Am,G,F,C,Am,G,F,C,Am,G,F,C"
Hero,Enrique Iglesias,1039996800,252,4.68788,2299841,7734,16,5,0,,0,"G,Em,C2,Dsus4,G,Em,C2,Dsus4,G,Em,C2,Dsus4,G,Gsus4,G,Em,C2,Dsus4,G,Em,C2,Dsus4,G,Gsus4,G,D,C2,D/F#,G,D,C2,D/F#,G,D,C2,D/F#,G,D,C2,G,Em,C2,Dsus4,G,Em,C2,Dsus4,G,Gsus4,G,D,C2,D/F#,G,D,C2,D/F#,G,D,C2,D/F#,G,D,C2,G,Em,C2,Dsus4,G,Em,C2,Dsus4,Gsus4,G,Em,C2,Dsus4,G,Em,C2,Dsus4,G,Gsus4,G,D,C2,D/F#,G,D,C2,D/F#,G,D,C2,D/F#,G,D,C2,G,D,C2"
You Raise Me Up,Josh Groban,1145318401,743,4.77665,2299534,19894,32,7,0,Eb,1,"D,G,D,D/F#,G,A,Asus4,A,Bm,G,D,G,D,A,D,D,G,D,D/F#,G,A,Asus4,A,Bm,G,D,G,D,A,D,Bm,G,D,A,Bm,G,D,A,Bm,G,D,G,D,A,D,E,A,E,E/G#,A,B,Bsus4,B,C#m,A,E,A,E,B,E,C#m,A,E,B,C#m,A,E,B,C#m,A,E,A,E,B,E,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,Bb,F,C,F"
High Hopes,Kodaline,1359676801,1703,4.90413,2295532,30818,54,3,0,C,4,"C,Am,F,C,E7,Am,G,F,C,E7,Am,G,F,G,C,Am,F,C,E7,Am,G,F,C,E7,Am,G,F,G,F,C,G,Am,G,F,C,E7,Am,G,F,C,E7,Am,G,F,G,C,Am,F,C,E7,Am,G,F,G,C,Am,F,C,E7,Am,G,F,C,E7,Am,G,F,G,F,C,G,Am,G,F,C,E7,Am,G,F,C,E7,Am,G,F,G,F,G,C,Am,F,C,E7,Am,G,F,G,F,C,G,Am,G,F,C,E7,Am,G,F,C,E7,Am,G,F,G,F,G,F,G,F,G,C,Am,F,G,C"
